[2026-07-21 22:23:18,770: INFO/MainProcess] beat: Starting...
[2026-07-21 22:23:23,822: INFO/MainProcess] Scheduler: Sending due task dispatch-notification-events (notifications.dispatch_outbox_events)
[2026-07-21 22:23:23,830: INFO/MainProcess] Scheduler: Sending due task process-received-payment-webhooks (payments.process_received_webhooks)
[2026-07-21 22:23:23,834: INFO/MainProcess] Scheduler: Sending due task deliver-due-notifications (notifications.deliver_due_notifications)
[2026-07-21 22:23:28,819: INFO/MainProcess] Scheduler: Sending due task dispatch-notification-events (notifications.dispatch_outbox_events)
[2026-07-21 22:23:28,863: INFO/MainProcess] Scheduler: Sending due task process-received-payment-webhooks (payments.process_received_webhooks)
[2026-07-21 22:23:28,865: INFO/MainProcess] Scheduler: Sending due task deliver-due-notifications (notifications.deliver_due_notifications)
[2026-07-21 22:23:33,819: INFO/MainProcess] Scheduler: Sending due task dispatch-notification-events (notifications.dispatch_outbox_events)
[2026-07-21 22:23:33,863: INFO/MainProcess] Scheduler: Sending due task process-received-payment-webhooks (payments.process_received_webhooks)
[2026-07-21 22:23:33,865: INFO/MainProcess] Scheduler: Sending due task deliver-due-notifications (notifications.deliver_due_notifications)
[2026-07-21 22:23:38,819: INFO/MainProcess] Scheduler: Sending due task dispatch-notification-events (notifications.dispatch_outbox_events)
[2026-07-21 22:23:38,863: INFO/MainProcess] Scheduler: Sending due task process-received-payment-webhooks (payments.process_received_webhooks)
[2026-07-21 22:23:38,865: INFO/MainProcess] Scheduler: Sending due task deliver-due-notifications (notifications.deliver_due_notifications)
[2026-07-21 22:23:43,819: INFO/MainProcess] Scheduler: Sending due task dispatch-notification-events (notifications.dispatch_outbox_events)
[2026-07-21 22:23:43,863: INFO/MainProcess] Scheduler: Sending due task process-received-payment-webhooks (payments.process_received_webhooks)
[2026-07-21 22:23:43,865: INFO/MainProcess] Scheduler: Sending due task deliver-due-notifications (notifications.deliver_due_notifications)
[2026-07-21 22:23:48,819: INFO/MainProcess] Scheduler: Sending due task escalate-overdue-support-cases (support.escalate_overdue_cases)
[2026-07-21 22:23:48,821: INFO/MainProcess] Scheduler: Sending due task mark-due-no-shows (boarding.mark_due_no_shows)
[2026-07-21 22:23:48,822: INFO/MainProcess] Scheduler: Sending due task expire-seat-holds (bookings.expire_seat_holds)
[2026-07-21 22:23:48,824: INFO/MainProcess] Scheduler: Sending due task expire-unpaid-bookings (payments.expire_due_unpaid_bookings)
[2026-07-21 22:23:48,825: INFO/MainProcess] Scheduler: Sending due task dispatch-notification-events (notifications.dispatch_outbox_events)
[2026-07-21 22:23:48,863: INFO/MainProcess] Scheduler: Sending due task process-received-payment-webhooks (payments.process_received_webhooks)
[2026-07-21 22:23:48,865: INFO/MainProcess] Scheduler: Sending due task deliver-due-notifications (notifications.deliver_due_notifications)
[2026-07-21 22:23:53,825: INFO/MainProcess] Scheduler: Sending due task dispatch-notification-events (notifications.dispatch_outbox_events)
[2026-07-21 22:23:53,863: INFO/MainProcess] Scheduler: Sending due task process-received-payment-webhooks (payments.process_received_webhooks)
[2026-07-21 22:23:53,865: INFO/MainProcess] Scheduler: Sending due task deliver-due-notifications (notifications.deliver_due_notifications)
[2026-07-21 22:23:58,825: INFO/MainProcess] Scheduler: Sending due task dispatch-notification-events (notifications.dispatch_outbox_events)
[2026-07-21 22:23:58,863: INFO/MainProcess] Scheduler: Sending due task process-received-payment-webhooks (payments.process_received_webhooks)
[2026-07-21 22:23:58,865: INFO/MainProcess] Scheduler: Sending due task deliver-due-notifications (notifications.deliver_due_notifications)
[2026-07-21 22:24:03,825: INFO/MainProcess] Scheduler: Sending due task dispatch-notification-events (notifications.dispatch_outbox_events)
[2026-07-21 22:24:03,863: INFO/MainProcess] Scheduler: Sending due task process-received-payment-webhooks (payments.process_received_webhooks)
[2026-07-21 22:24:03,867: INFO/MainProcess] Scheduler: Sending due task deliver-due-notifications (notifications.deliver_due_notifications)
[2026-07-21 22:24:08,825: INFO/MainProcess] Scheduler: Sending due task dispatch-notification-events (notifications.dispatch_outbox_events)
[2026-07-21 22:24:08,863: INFO/MainProcess] Scheduler: Sending due task process-received-payment-webhooks (payments.process_received_webhooks)
[2026-07-21 22:24:08,867: INFO/MainProcess] Scheduler: Sending due task deliver-due-notifications (notifications.deliver_due_notifications)
[2026-07-21 22:24:13,825: INFO/MainProcess] Scheduler: Sending due task dispatch-notification-events (notifications.dispatch_outbox_events)
[2026-07-21 22:24:13,863: INFO/MainProcess] Scheduler: Sending due task process-received-payment-webhooks (payments.process_received_webhooks)
[2026-07-21 22:24:13,867: INFO/MainProcess] Scheduler: Sending due task deliver-due-notifications (notifications.deliver_due_notifications)
[2026-07-21 22:24:18,819: INFO/MainProcess] Scheduler: Sending due task open-due-trip-bookings (trips.open_due_bookings)
[2026-07-21 22:24:18,823: INFO/MainProcess] Scheduler: Sending due task escalate-overdue-support-cases (support.escalate_overdue_cases)
[2026-07-21 22:24:18,824: INFO/MainProcess] Scheduler: Sending due task mark-due-no-shows (boarding.mark_due_no_shows)
[2026-07-21 22:24:18,826: INFO/MainProcess] Scheduler: Sending due task expire-seat-holds (bookings.expire_seat_holds)
